pair,genename,zscore
V$AP1FJ_Q2 - V$STAT6_01,ADH5,3.12799142629873
V$AP1_Q6 - V$CP2_02,ADH5,3.29069249113984
V$MYB_Q6 - V$STAT6_01,ADH5,3.06488720352072
V$CEBP_Q2 - V$STAT_01,ADH5,3.03363085196297
V$ETS1_B - V$HNF4_Q6,ADH5,3.13548629732045
V$AHRHIF_Q6 - V$ETS1_B,ADH5,4.20060213439758
V$ETS1_B - V$MAF_Q6_01,ADH5,3.77820029152962
V$HIF1_Q5 - V$SOX9_B1,ADH5,4.18867705085773
V$ETS_Q4 - V$HIF1_Q5,ADH5,3.53818754137722
V$MYB_Q5_01 - V$STAT6_01,ADH5,3.28126712791864
V$DR4_Q2 - V$HNF4ALPHA_Q6,ADH5,3.01253192194727
V$MYB_Q5_01 - V$PU1_Q6,ADH5,3.67271963323954
V$HMGIY_Q6 - V$MYB_Q5_01,ADH5,6.52345579234261
V$DR1_Q3 - V$GR_Q6_01,ADH5,3.34238478820962
V$HNF3_Q6 - V$SMAD_Q6_01,ADH5,3.11524970920064
V$HNF4_Q6 - V$OCT_Q6,ADH5,3.30634928075111
V$ETS_Q6 - V$MYB_Q5_01,ADH5,4.34413220710548
V$AHRHIF_Q6 - V$E2F_Q3_01,ADH5,3.21989600774121
V$SREBP_Q3 - V$VMYB_01,CRAT,4.06533138760492
V$CREB_02 - V$ELK1_01,CRAT,3.49052813356831
V$ELK1_01 - V$TAXCREB_01,CRAT,3.2984352437131
V$ELK1_02 - V$SF1_Q6,CRAT,3.20096291301272
V$CETS1P54_01 - V$NFKB_Q6,CRAT,3.04892239770371
V$AP1FJ_Q2 - V$CEBP_Q3,CRAT,5.79398252348007
V$AP1FJ_Q2 - V$HNF4_Q6,CRAT,3.51135037027452
V$AP1FJ_Q2 - V$ETS_Q6,CRAT,4.90943234903346
V$AP1_Q2 - V$CEBP_Q3,CRAT,3.38205467046475
V$ETS_Q4 - V$GR_Q6,CRAT,3.67473778133556
V$GR_Q6_01 - V$NFKB_Q6,CRAT,3.47510629904665
V$GRE_C - V$GR_Q6_01,CRAT,3.11424295598094
V$GRE_C - V$SMAD_Q6_01,CRAT,3.05061262698101
V$NFAT_Q6 - V$OSF2_Q6,CRAT,3.00479089664442
